specimenAgingtime;specimenAgingT;specimenCreepStress;specimenMaterialStateName;specimen_ID;tEMProcess;transmissionElectronMicroscope;manufacturerSeries;tEMManufacturer;calibrationFactor;dFImage_ID;precipitateGeometryMeasurement;particleNumber;particleArea;weightedXPositionCentralPoint;weightedYPositionCentralPoint;perimeter;elipseFitMajorAxis;elipseFitMinorAxis;particleRadius_nm;labDFImage_ID;softwareAgent;;;
0;0;0;T61;T61_1;tEMProcess_22;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_22;T61_1_1_22;3168;47.65;364.766;210.794;68.203;59.141;4.7633106856;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_23;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_23;T61_1_1_23;427;841.289;399.05;77.255;27.615;19.688;1.7487601984;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_24;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_24;T61_1_1_24;130;627.908;411.108;41.213;13.513;12.249;0.9649126474;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_25;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_25;T61_1_1_25;53;1021.802;416.179;35.213;11.71;5.763;0.6161043250;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_26;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_26;T61_1_1_26;1883;1514.095;435.853;163.681;51.982;46.122;3.6723281584;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_27;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_27;T61_1_1_27;6482;145.128;475.332;330.919;122.841;67.186;6.8135090336;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_28;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_28;T61_1_1_28;122;298.156;480.615;40.284;13.041;11.912;0.9347516449;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_29;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_29;T61_1_1_29;62;999.097;485.5;31.213;12.652;6.24;0.6663649835;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_30;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_30;T61_1_1_30;444;554.779;494.773;77.598;24.725;22.864;1.7832318310;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_31;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_31;T61_1_1_31;87;1839.753;506.282;33.799;10.734;10.32;0.7893615155;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_32;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_32;T61_1_1_32;1934;1912.02;525.12;172.024;62.565;39.358;3.7217273808;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_33;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_33;T61_1_1_33;266;505.496;523.831;60.527;19.801;17.105;1.3802480461;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_34;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_34;T61_1_1_34;1425;744.705;546.751;140.61;44.443;40.824;3.1946534594;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_35;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_35;T61_1_1_35;382;1720.099;565.233;71.841;23.523;20.677;1.6540476026;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_36;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_36;T61_1_1_36;177;1791.353;574.556;61.941;24.4;9.236;1.1259081320;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_37;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_37;T61_1_1_37;1853;606.88;595.757;161.681;53.949;43.732;3.6429568937;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_38;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_38;T61_1_1_38;371;444.357;589.724;71.012;24.828;19.026;1.6300588256;L_T61_1_1;ImageJ;;;
